designation,profile,h,b,c,d,tw,tf,r1,r2,b1,Beta,A,Ix,Zx,rx,Iy,Zy,ry,Iu,Zu,ru,Iv,Zv,rv,J,Cw,Zplx,Zply,h_tf,hw,ac,ax,ay,alpha,id,unit_mass
CFZ100x50x20x3.0,CFZ,100,50,20,-,3.0,-,-,-,-,-,653.00,991000.00,19800.00,39.00,418000.00,8620.00,25.30,-,-,-,-,-,-,1960.00,-,14500.00,-,-,-,-,-,-,-,f4054421960944b7833010b89a7424bc,5.13
CFZ125x50x20x2.0,CFZ,125,50,20,-,2.0,-,-,-,-,-,500.00,1190000.00,19100.00,48.80,307000.00,6260.00,24.80,-,-,-,-,-,-,667.00,-,15200.00,-,-,-,-,-,-,-,8e62170d51b644368d247c0b0d96ac51,3.93
CFZ125x50x20x2.5,CFZ,125,50,20,-,2.5,-,-,-,-,-,616.00,1450000.00,23200.00,48.50,366000.00,7500.00,24.40,-,-,-,-,-,-,1280.00,-,15000.00,-,-,-,-,-,-,-,89666e876d614a38895bc207815c6f7f,4.84
CFZ125x50x20x3.0,CFZ,125,50,20,-,3.0,-,-,-,-,-,728.00,1690000.00,27000.00,48.10,418000.00,8620.00,24.00,-,-,-,-,-,-,2180.00,-,14800.00,-,-,-,-,-,-,-,ecf0b8e4228c4738902a330b8f89b07b,5.72
CFZ125x65x20x2.0,CFZ,125,65,20,-,2.0,-,-,-,-,-,560.00,1420000.00,22700.00,50.30,608000.00,9490.00,32.90,-,-,-,-,-,-,747.00,-,18700.00,-,-,-,-,-,-,-,aca9e62f114345e1b5e8827d8e53b21c,4.40
CFZ125x65x20x2.5,CFZ,125,65,20,-,2.5,-,-,-,-,-,691.00,1730000.00,27700.00,50.00,731000.00,11500.00,32.50,-,-,-,-,-,-,1440.00,-,18400.00,-,-,-,-,-,-,-,fc26bbcdada64ec39d4727e54fa607a8,5.42
CFZ125x65x20x3.0,CFZ,125,65,20,-,3.0,-,-,-,-,-,818.00,2020000.00,32300.00,49.70,843000.00,13300.00,32.10,-,-,-,-,-,-,2450.00,-,18200.00,-,-,-,-,-,-,-,54d60c477f74437998eccfcf9db84bbe,6.42
CFZ125x75x20x2.0,CFZ,125,75,20,-,2.0,-,-,-,-,-,600.00,1570000.00,25100.00,51.10,887000.00,12000.00,38.40,-,-,-,-,-,-,800.00,-,20600.00,-,-,-,-,-,-,-,b52cd9de23194741baab0ab87c6acd45,4.71
CFZ125x75x20x2.5,CFZ,125,75,20,-,2.5,-,-,-,-,-,741.00,1920000.00,30700.00,50.80,1070000.00,14500.00,38.00,-,-,-,-,-,-,1540.00,-,20300.00,-,-,-,-,-,-,-,5930f48484c14aacb64b150b7304e1ef,5.82
CFZ125x75x20x3.0,CFZ,125,75,20,-,3.0,-,-,-,-,-,878.00,2240000.00,35900.00,50.60,1240000.00,16900.00,37.60,-,-,-,-,-,-,2630.00,-,20100.00,-,-,-,-,-,-,-,ec38b91e127a478cbf8709ffdeedcae8,6.89
CFZ150x50x20x2.0,CFZ,150,50,20,-,2.0,-,-,-,-,-,550.00,1830000.00,24500.00,57.70,307000.00,6260.00,23.60,-,-,-,-,-,-,734.00,-,15300.00,-,-,-,-,-,-,-,81c347c6f7d144e78c5f0128be761785,4.32
CFZ150x50x20x2.5,CFZ,150,50,20,-,2.5,-,-,-,-,-,679.00,2230000.00,29800.00,57.40,366000.00,7500.00,23.20,-,-,-,-,-,-,1410.00,-,15000.00,-,-,-,-,-,-,-,ce2fd67050a745f899bb2ae7967a7ebb,5.33
CFZ150x50x20x3.0,CFZ,150,50,20,-,3.0,-,-,-,-,-,803.00,2610000.00,34800.00,57.00,418000.00,8620.00,22.80,-,-,-,-,-,-,2410.00,-,14900.00,-,-,-,-,-,-,-,3afbbb5d46d54c77b58d2421f498a3b5,6.30
CFZ150x65x20x2.0,CFZ,150,65,20,-,2.0,-,-,-,-,-,610.00,2160000.00,28800.00,59.50,608000.00,9490.00,31.61,-,-,-,-,-,-,814.00,-,19100.00,-,-,-,-,-,-,-,b15ea440ef4e4f6e856fe3139164192c,4.79
CFZ150x65x20x2.5,CFZ,150,65,20,-,2.5,-,-,-,-,-,754.00,2640000.00,35200.00,59.20,731000.00,11500.00,31.10,-,-,-,-,-,-,1570.00,-,18900.00,-,-,-,-,-,-,-,f85fdf503222439b9dc89be18febaacd,5.92
CFZ150x65x20x3.0,CFZ,150,65,20,-,3.0,-,-,-,-,-,893.00,3100000.00,41300.00,58.90,843000.00,13300.00,30.70,-,-,-,-,-,-,2680.00,-,18600.00,-,-,-,-,-,-,-,2051fafc49124c83ba40c1e96caa4e55,7.01
CFZ150x75x20x2.0,CFZ,150,75,20,-,2.0,-,-,-,-,-,650.00,2380000.00,31800.00,60.50,887000.00,12000.00,36.90,-,-,-,-,-,-,867.00,-,21400.00,-,-,-,-,-,-,-,134b8b865ff34c7ab9bad6d5fb5dea74,5.10
CFZ150x75x20x2.5,CFZ,150,75,20,-,2.5,-,-,-,-,-,804.00,2910000.00,38800.00,60.20,1070000.00,14500.00,36.50,-,-,-,-,-,-,1670.00,-,21100.00,-,-,-,-,-,-,-,d4382cb2041f44a5bfb2012dafb09617,6.31
CFZ150x75x20x3.0,CFZ,150,75,20,-,3.0,-,-,-,-,-,953.00,3420000.00,45600.00,59.90,1240000.00,16900.00,36.10,-,-,-,-,-,-,2860.00,-,20900.00,-,-,-,-,-,-,-,20bfa870ef0a48f1aefdbc84d21ffb9c,7.48
CFZ150x75x20x3.5,CFZ,150,75,20,-,3.5,-,-,-,-,-,1100.00,3900000.00,52000.00,59.60,1400000.00,19100.00,35.70,-,-,-,-,-,-,4490.00,-,20600.00,-,-,-,-,-,-,-,208408b7539a438fa12cbeb74c57f27e,8.63
CFZ150x75x20x4.5,CFZ,150,75,20,-,4.5,-,-,-,-,-,1380.00,4790000.00,63900.00,58.90,1670000.00,22900.00,34.80,-,-,-,-,-,-,9310.00,-,20200.00,-,-,-,-,-,-,-,5537e3de940a42bdbd55f1590fd3e46b,10.80
CFZ175x75x20x2.5,CFZ,175,75,20,-,2.5,-,-,-,-,-,866.00,4160000.00,47600.00,69.30,1070000.00,14500.00,35.20,-,-,-,-,-,-,1800.00,-,21500.00,-,-,-,-,-,-,-,3c695da03b694088b642a75a2786abbb,6.80
CFZ175x75x20x3.0,CFZ,175,75,20,-,3.0,-,-,-,-,-,1030.00,4890000.00,55900.00,69.00,1240000.00,16900.00,34.70,-,-,-,-,-,-,3080.00,-,21200.00,-,-,-,-,-,-,-,90e35bf7303049e7979af0515d10dbd4,8.07
CFZ175x75x20x3.5,CFZ,175,75,20,-,3.5,-,-,-,-,-,1190.00,5590000.00,63900.00,68.60,1400000.00,19100.00,34.30,-,-,-,-,-,-,4840.00,-,21000.00,-,-,-,-,-,-,-,5652390647ef45f9825f866fa53943b1,9.31
CFZ175x75x20x4.5,CFZ,175,75,20,-,4.5,-,-,-,-,-,1490.00,6890000.00,78700.00,68.00,1670000.00,22900.00,33.40,-,-,-,-,-,-,10100.00,-,20500.00,-,-,-,-,-,-,-,ee0d7be28dc0419bba8af168cb366947,11.70
CFZ200x75x20x2.5,CFZ,200,75,20,-,2.5,-,-,-,-,-,929.00,5680000.00,56800.00,78.20,1070000.00,14500.00,34.00,-,-,-,-,-,-,1930.00,-,21600.00,-,-,-,-,-,-,-,c485c7f83c6b408e8a70924e11ea5a27,7.29
CFZ200x75x20x3.0,CFZ,200,75,20,-,3.0,-,-,-,-,-,1100.00,6690000.00,66900.00,77.90,1240000.00,16900.00,33.50,-,-,-,-,-,-,3310.00,-,21400.00,-,-,-,-,-,-,-,14e638d707244b87844acb46e4f2dde3,8.66
CFZ200x75x20x3.5,CFZ,200,75,20,-,3.5,-,-,-,-,-,1270.00,7650000.00,76500.00,77.50,1400000.00,19100.00,33.10,-,-,-,-,-,-,5200.00,-,21100.00,-,-,-,-,-,-,-,743cab5d1a564316a2ff320869fcad87,10.00
CFZ200x75x20x4.5,CFZ,200,75,20,-,4.5,-,-,-,-,-,1600.00,9450000.00,94500.00,76.80,1670000.00,22900.00,32.30,-,-,-,-,-,-,10800.00,-,20600.00,-,-,-,-,-,-,-,31fdc27f4239414182b51f8991210fd6,12.60
CFZ225x75x20x2.5,CFZ,225,75,20,-,2.5,-,-,-,-,-,991.00,7490000.00,66600.00,86.90,1070000.00,14500.00,32.90,-,-,-,-,-,-,2060.00,-,21600.00,-,-,-,-,-,-,-,537aecc0a0464178b3986f933f33df75,7.78
CFZ225x75x20x3.0,CFZ,225,75,20,-,3.0,-,-,-,-,-,1180.00,8830000.00,78400.00,86.60,1240000.00,16900.00,32.50,-,-,-,-,-,-,3530.00,-,21400.00,-,-,-,-,-,-,-,0b93871d97904e98b2a62da3929a3dd5,9.25
CFZ225x75x20x3.5,CFZ,225,75,20,-,3.5,-,-,-,-,-,1360.00,10100000.00,89900.00,86.20,1400000.00,19100.00,32.00,-,-,-,-,-,-,5560.00,-,21100.00,-,-,-,-,-,-,-,c80f34bf84bb4a10b0edd3a2d8a6ac7b,10.70
CFZ225x75x20x4.5,CFZ,225,75,20,-,4.5,-,-,-,-,-,1720.00,12500000.00,111000.00,85.40,1670000.00,22900.00,31.20,-,-,-,-,-,-,11600.00,-,20600.00,-,-,-,-,-,-,-,3bccb2fc31bd411b8d735c14aa1f1453,13.50
CFZ75x50x20x2.0,CFZ,75,50,20,-,2.0,-,-,-,-,-,308.00,229000.00,4830.00,27.30,97000.00,2780.00,17.80,-,-,-,-,-,-,427.00,-,-,-,-,-,-,27.70,15.10,-,5c06b6be1f5a48c0be2642273f2aeb3e,2.42
CFZ75x50x20x2.5,CFZ,75,50,20,-,2.5,-,-,-,-,-,378.00,275000.00,5820.00,27.00,116000.00,3320.00,17.50,-,-,-,-,-,-,828.00,-,-,-,-,-,-,27.80,15.10,-,27a91cf6889246d3823ff71e213be0e4,2.96
CFZ75x50x20x3.0,CFZ,75,50,20,-,3.0,-,-,-,-,-,445.00,317000.00,6730.00,26.70,132000.00,3800.00,17.30,-,-,-,-,-,-,1420.00,-,-,-,-,-,-,27.90,15.20,-,85e4858a67c24aa78bfb05fd8df2be26,3.49
CFZ100x50x25x2.0,CFZ,100,50,25,-,2.0,-,-,-,-,-,378.00,504000.00,8330.00,36.50,119000.00,3330.00,17.70,-,-,-,-,-,-,520.00,-,-,-,-,-,-,39.50,14.30,-,3c01ebf967d84df88510e9634fb67239,2.96
CFZ100x50x25x2.5,CFZ,100,50,25,-,2.5,-,-,-,-,-,465.00,611000.00,10100.00,36.20,142000.00,3990.00,17.50,-,-,-,-,-,-,1010.00,-,-,-,-,-,-,39.60,14.40,-,50d73bd9eeb14ed5b83178603c2ba5f9,3.65
CFZ100x50x25x3.0,CFZ,100,50,25,-,3.0,-,-,-,-,-,550.00,711000.00,11800.00,35.90,164000.00,4600.00,17.30,-,-,-,-,-,-,1730.00,-,-,-,-,-,-,39.80,14.40,-,fd2820a7b5db4bee848dae7d4f1bc21c,4.32
CFZ100x75x25x2.0,CFZ,100,75,25,-,2.0,-,-,-,-,-,428.00,570000.00,8760.00,36.50,310000.00,5890.00,26.90,-,-,-,-,-,-,587.00,-,-,-,-,-,-,35.00,22.40,-,d4d65af2f8394ab1bb7cfa39143bf3c2,3.36
CFZ100x75x25x2.5,CFZ,100,75,25,-,2.5,-,-,-,-,-,528.00,692000.00,10700.00,36.20,375000.00,7140.00,26.70,-,-,-,-,-,-,1140.00,-,-,-,-,-,-,35.10,22.50,-,e84669a2c67244c48b9ad3a90f3d30d2,4.14
CFZ100x75x25x3.0,CFZ,100,75,25,-,3.0,-,-,-,-,-,625.00,807000.00,12500.00,35.90,435000.00,8290.00,26.40,-,-,-,-,-,-,1960.00,-,-,-,-,-,-,35.20,22.50,-,a965acb797b24cf29c6ca1112112b1fc,4.90
CFZ115x75x25x2.0,CFZ,115,75,25,-,2.0,-,-,-,-,-,458.00,802000.00,10900.00,41.80,323000.00,5980.00,26.50,-,-,-,-,-,-,627.00,-,-,-,-,-,-,41.20,21.00,-,1de5edb063a94cf09d1996f0cd3b8523,3.59
CFZ115x75x25x2.5,CFZ,115,75,25,-,2.5,-,-,-,-,-,565.00,977000.00,13200.00,41.60,391000.00,7240.00,26.30,-,-,-,-,-,-,1220.00,-,-,-,-,-,-,41.20,21.10,-,88650f2c35fd4e71b67bdfc5a761a6ff,4.44
CFZ115x75x25x3.0,CFZ,115,75,25,-,3.0,-,-,-,-,-,670.00,1140000.00,15500.00,41.30,454000.00,8420.00,26.00,-,-,-,-,-,-,2090.00,-,-,-,-,-,-,41.30,21.10,-,70e49b5bf9ac453e9fd11480154118a9,5.26
CFZ125x75x25x2.5,CFZ,125,75,25,-,2.5,-,-,-,-,-,590.00,1200000.00,15100.00,45.10,400000.00,7300.00,26.00,-,-,-,-,-,-,1270.00,-,-,-,-,-,-,45.40,20.20,-,8fd4bdf6056341ddb558c30f69e18ef0,4.63
CFZ125x75x25x3.0,CFZ,125,75,25,-,3.0,-,-,-,-,-,700.00,1400000.00,17700.00,44.80,465000.00,8490.00,25.80,-,-,-,-,-,-,2180.00,-,-,-,-,-,-,45.50,20.30,-,a9bc0b3450a64a27811902f5f5d1e6c1,5.49
CFZ125x75x25x3.5,CFZ,125,75,25,-,3.5,-,-,-,-,-,807.00,1600000.00,20100.00,44.50,525000.00,9600.00,25.50,-,-,-,-,-,-,3450.00,-,-,-,-,-,-,45.60,20.30,-,20420c95d7fb4edfa15ccf27cff5b1e1,6.33
CFZ125x75x25x4.5,CFZ,125,75,25,-,4.5,-,-,-,-,-,1010.00,1950000.00,24600.00,43.90,631000.00,11600.00,25.00,-,-,-,-,-,-,7260.00,-,-,-,-,-,-,45.80,20.40,-,e15c92fce9df4dd996908c4bbf66a924,7.95
CFZ150x75x25x2.5,CFZ,150,75,25,-,2.5,-,-,-,-,-,653.00,1890000.00,20100.00,53.80,420000.00,7430.00,25.40,-,-,-,-,-,-,1400.00,-,-,-,-,-,-,56.20,18.40,-,b1d98a3427bf4f9f9f6bedd6189d347d,5.12
CFZ150x75x25x3.0,CFZ,150,75,25,-,3.0,-,-,-,-,-,775.00,2220000.00,23700.00,53.50,489000.00,8640.00,25.10,-,-,-,-,-,-,2410.00,-,-,-,-,-,-,56.30,18.40,-,4f7b5eea48104caba6e88504330bfcf6,6.08
CFZ150x75x25x3.5,CFZ,150,75,25,-,3.5,-,-,-,-,-,894.00,2530000.00,27000.00,53.20,552000.00,9770.00,24.90,-,-,-,-,-,-,3810.00,-,-,-,-,-,-,56.40,18.50,-,8fcde2aa725d4fecb0e1e362232b89e9,7.02
CFZ150x75x25x4.5,CFZ,150,75,25,-,4.5,-,-,-,-,-,1120.00,3100000.00,33300.00,52.50,665000.00,11800.00,24.30,-,-,-,-,-,-,8020.00,-,-,-,-,-,-,56.70,18.60,-,2ba9659c5ec84367888e2487ab2d64a9,8.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71f447e50b664b85a65fe24f2d802ace,
